record;stcrt;x;y;code;url
233;stcrt-2018-67153;124513;486160;E6;https://zoek.officielebekendmakingen.nl/stcrt-2018-67153
234;stcrt-2018-67177;121790;491212;E6;https://zoek.officielebekendmakingen.nl/stcrt-2018-67177
235;stcrt-2018-67166;123616;485715;E6;https://zoek.officielebekendmakingen.nl/stcrt-2018-67166
236;stcrt-2018-67175;123439;485331;E6;https://zoek.officielebekendmakingen.nl/stcrt-2018-67175
237;stcrt-2018-67189;123604;485120;E6;https://zoek.officielebekendmakingen.nl/stcrt-2018-67189
238;stcrt-2018-67351;125123;483623;E6;https://zoek.officielebekendmakingen.nl/stcrt-2018-67351
239;stcrt-2018-67085;128323;485351;E6;https://zoek.officielebekendmakingen.nl/stcrt-2018-67085
240;stcrt-2018-67047;129149;484891;E6;https://zoek.officielebekendmakingen.nl/stcrt-2018-67047
241;stcrt-2018-67048;128410;485538;E6;https://zoek.officielebekendmakingen.nl/stcrt-2018-67048
242;stcrt-2018-67052;124683;487120;E6;https://zoek.officielebekendmakingen.nl/stcrt-2018-67052
243;stcrt-2018-67049;123059;485691;E6;https://zoek.officielebekendmakingen.nl/stcrt-2018-67049
244;stcrt-2018-67179;128428;485387;E6;https://zoek.officielebekendmakingen.nl/stcrt-2018-67179
245;stcrt-2018-67193;123929;485430;E6;https://zoek.officielebekendmakingen.nl/stcrt-2018-67193
246;stcrt-2018-67050;128767;485213;E6;https://zoek.officielebekendmakingen.nl/stcrt-2018-67050
247;stcrt-2018-67183;125254;483728;E6;https://zoek.officielebekendmakingen.nl/stcrt-2018-67183
248;stcrt-2018-67194;120609;488326;N.v.t.;https://zoek.officielebekendmakingen.nl/stcrt-2018-67194
249;stcrt-2018-67231;126953;478146;E6;https://zoek.officielebekendmakingen.nl/stcrt-2018-67231
250;stcrt-2018-67281;120151;486118;E4;https://zoek.officielebekendmakingen.nl/stcrt-2018-67281
251;stcrt-2018-67045;124342;484886;E6;https://zoek.officielebekendmakingen.nl/stcrt-2018-67045
252;stcrt-2018-67098;124729;486189;E6;https://zoek.officielebekendmakingen.nl/stcrt-2018-67098
